gyroscope	 104.0Hz
cycle sample index,gyro X,gyro Y,gyro Z
206,2.819,0.699,-132.274
207,5.126,0.163,-256.929
208,3.938,-0.792,-371.379
209,4.241,0.559,-394.539
210,2.889,3.099,-272.890
211,-0.093,1.957,-106.667
212,0.769,0.047,-17.591
213,0.909,-0.023,-32.387
214,1.561,0.699,-118.201
215,3.379,1.212,-242.623
216,3.122,1.887,-352.459
217,5.429,1.911,-383.425
218,5.452,1.701,-304.112
219,5.243,1.165,-166.152
220,0.722,0.000,-52.658
221,-0.140,-0.256,-42.266
222,0.023,-0.070,-103.219
223,-0.093,1.328,-218.740
224,5.359,4.008,-336.988
225,6.454,4.147,-388.085
226,3.029,1.025,-316.717
227,5.010,-1.631,-170.300
228,2.470,-0.839,-61.046
229,-0.373,0.140,-27.611
230,-0.326,0.699,-78.824
231,1.748,1.305,-185.748
232,5.778,1.771,-303.180
233,4.916,2.516,-377.646
234,3.868,2.190,-341.182
235,0.816,1.072,-222.002
236,0.396,0.559,-100.609
237,2.843,0.746,-40.309
238,0.955,0.419,-68.432
239,3.821,0.769,-158.184
240,4.264,-0.233,-284.773
241,4.008,-0.350,-388.434
242,5.056,1.561,-380.885
243,1.398,3.472,-236.891
244,-0.117,1.515,-83.297
245,0.955,-0.117,-11.534
246,0.979,0.047,-39.237
247,2.307,0.676,-138.122
248,2.913,1.491,-274.241
249,4.194,1.981,-380.326
250,5.173,1.887,-384.101
251,6.105,1.841,-284.144
252,4.287,1.025,-136.771
253,-0.676,-0.163,-47.392
254,-0.536,-0.233,-43.291
255,0.396,0.350,-106.201
256,0.932,2.144,-227.152
257,5.243,4.590,-348.848
258,5.872,3.798,-393.467
259,3.798,0.256,-299.615
260,5.289,-1.212,-146.347
261,0.955,-0.233,-40.705
262,-1.305,0.559,-25.187
263,0.769,0.769,-90.288
264,3.099,1.445,-201.708
265,6.105,1.981,-321.959
266,4.497,2.703,-389.483
267,3.006,2.167,-330.813
268,0.909,1.282,-200.287
269,4.008,1.212,-78.008
270,2.144,0.443,-36.511
271,1.654,0.163,-61.675
272,3.076,-0.140,-156.925
273,4.474,-1.072,-295.234
274,3.845,-0.839,-400.247
275,5.848,1.701,-377.646
276,3.052,1.538,-220.535
277,-1.282,1.002,-72.766
278,1.095,-0.256,-9.600
279,-0.443,0.350,-40.752
280,0.280,1.072,-148.747
281,2.610,1.491,-284.027
282,4.520,1.864,-384.823
283,5.243,1.887,-379.301
284,6.268,1.771,-272.959
285,2.773,0.699,-124.655
286,-1.561,-0.326,-37.397
287,0.652,0.070,-34.927
288,0.070,0.513,-108.485
289,1.515,2.656,-238.056
290,5.312,4.870,-360.800
291,5.266,3.612,-394.562
292,4.427,0.023,-284.679
293,4.520,-0.746,-127.917
294,0.676,-0.117,-27.960
295,-1.258,0.652,-30.570
296,1.095,0.979,-110.069
297,4.753,1.421,-226.965
298,6.011,2.144,-341.462
299,4.613,2.679,-385.638
300,2.563,1.911,-309.704
301,0.932,1.072,-178.222
302,3.658,0.955,-62.724
303,1.817,0.326,-31.339
304,1.328,0.047,-68.898
305,2.959,-0.186,-180.039
306,4.474,-0.816,-326.014
307,4.404,0.047,-423.081
308,6.128,2.237,-369.934
309,0.839,1.817,-194.625
310,1.351,0.047,-44.666
311,1.072,-0.303,-2.889
312,0.023,0.233,-36.814
313,-0.350,1.282,-150.168
314,2.027,1.794,-309.587
315,4.287,2.074,-418.817
316,4.590,2.167,-401.785
317,5.056,2.260,-274.451
318,2.377,1.305,-120.484
319,1.025,0.373,-27.354
320,0.513,0.093,-25.700
321,0.536,0.699,-103.545
322,1.608,2.563,-233.326
323,4.940,4.543,-362.315
324,4.707,3.355,-404.278
325,4.147,0.722,-293.370
326,5.103,-0.443,-140.359
327,1.421,-0.210,-31.711
328,-0.792,0.373,-20.690
329,1.771,0.489,-87.235
330,3.938,1.328,-212.566
331,5.033,2.283,-346.518
332,4.380,2.749,-397.079
333,2.004,1.981,-332.188
334,0.559,1.258,-209.397
335,4.054,1.165,-82.156
336,3.472,0.629,-37.723
337,1.375,0.000,-63.143
338,2.959,-0.280,-152.312
339,3.914,-0.792,-291.343
340,4.078,0.233,-393.467
341,6.198,2.190,-356.234
342,0.559,2.004,-220.418
343,1.025,0.443,-86.070
344,0.816,-0.163,-14.842
345,-0.373,0.373,-48.394
346,0.746,0.979,-161.120
347,2.050,1.654,-300.873
348,3.798,1.841,-384.543
349,4.543,2.400,-359.542
350,5.266,2.470,-253.900
351,3.169,1.724,-134.022
352,2.563,1.002,-60.114
353,0.746,0.256,-55.803
354,0.373,0.513,-116.477
355,1.282,1.957,-220.069
356,5.033,3.681,-332.351
357,2.679,2.843,-366.229
358,6.431,-0.303,-274.824
359,4.101,-0.350,-154.502
360,1.305,0.093,-62.164
361,-0.303,0.396,-36.232
362,1.771,0.583,-95.087
363,4.008,1.258,-210.259
364,4.008,2.237,-328.880
365,4.171,2.493,-366.136
366,2.377,1.817,-312.430
367,0.606,1.002,-208.209
368,3.542,0.955,-94.505
369,3.006,0.536,-43.035
370,1.631,0.070,-62.095
371,3.076,-0.303,-157.298
372,3.495,-0.699,-296.423
373,4.427,0.699,-391.114
374,5.848,2.167,-342.533
375,0.443,1.864,-206.881
376,1.864,0.070,-76.704
377,0.932,-0.186,-17.032
378,-0.419,0.419,-50.887
379,0.023,1.118,-160.607
380,1.678,1.724,-300.733
381,3.122,1.841,-382.889
382,4.334,2.679,-360.358
383,4.567,2.889,-264.641
384,4.287,2.260,-137.004
385,3.821,1.235,-50.957
386,1.025,0.210,-45.435
387,-0.140,0.186,-110.256
388,1.072,1.631,-214.453
389,4.683,3.472,-328.996
390,2.866,2.913,-368.373
391,6.338,-0.303,-282.349
