Packet Number,Data receive interval,Processing data time
2,0.07026410102844238,0.0013210773468017578
18,0.05334782600402832,0.004605770111083984
19,0.01877903938293457,0.0035440921783447266
20,0.004759550094604492,0.001954793930053711
21,0.00513911247253418,0.002501249313354492
22,0.010296821594238281,0.0032129287719726562
23,0.00480341911315918,0.002252817153930664
24,0.08480501174926758,0.002424955368041992
25,0.08016395568847656,0.0022971630096435547
26,0.22058463096618652,0.0038709640502929688
27,0.15881061553955078,0.0013005733489990234
28,0.029915809631347656,0.001901865005493164
29,0.10012698173522949,0.001931905746459961
30,0.1501312255859375,0.0017321109771728516
31,0.14997339248657227,0.0014798641204833984
32,0.10007119178771973,0.0014028549194335938
33,0.09996199607849121,0.015506982803344727
34,0.1005408763885498,0.0013811588287353516
35,0.08976864814758301,0.0013148784637451172
36,0.21022391319274902,0.0014116764068603516
37,0.16937875747680664,0.001361846923828125
38,0.020152568817138672,0.0013942718505859375
39,0.10980939865112305,0.007828474044799805
40,0.09014201164245605,0.0017867088317871094
41,0.20979094505310059,0.001955747604370117
42,0.09079432487487793,0.0013079643249511719
43,0.09937214851379395,0.0013909339904785156
44,0.09987807273864746,0.0013310909271240234
45,0.10071706771850586,0.0013751983642578125
46,0.19942235946655273,0.0017642974853515625
47,0.10073232650756836,0.001354217529296875
48,0.0995948314666748,0.013437986373901367
49,0.09954428672790527,0.0013308525085449219
50,0.10016107559204102,0.0014300346374511719
51,0.20000505447387695,0.001445770263671875
52,0.09991717338562012,0.0013918876647949219
53,0.10008692741394043,0.0014111995697021484
54,0.10977339744567871,0.0014367103576660156
55,0.0902090072631836,0.0016891956329345703
56,0.19998669624328613,0.0019562244415283203
57,0.13054656982421875,0.0013871192932128906
58,0.06945371627807617,0.001438140869140625
59,0.09990787506103516,0.0018146038055419922
60,0.10012245178222656,0.0074846744537353516
61,0.20148801803588867,0.0013866424560546875
62,0.12900996208190918,0.0015027523040771484
63,0.0695033073425293,0.0075376033782958984
64,0.10003423690795898,0.007502317428588867
65,0.10993170738220215,0.0015270709991455078
66,0.19997119903564453,0.0015463829040527344
67,0.11979556083679199,0.0014345645904541016
68,0.07023954391479492,0.0014030933380126953
69,0.10983061790466309,0.0013775825500488281
70,0.12099981307983398,0.0038650035858154297
71,0.07998442649841309,0.0043408870697021484
72,0.20001530647277832,0.0033812522888183594
73,0.09009218215942383,0.004532814025878906
74,0.09966874122619629,0.0025565624237060547
75,0.12031388282775879,0.0037975311279296875
76,0.08017206192016602,0.0043735504150390625
77,0.207763671875,0.0042345523834228516
78,0.0921022891998291,0.0037839412689208984
79,0.09990501403808594,0.027128934860229492
80,0.10729551315307617,0.0039708614349365234
81,0.0923926830291748,0.012238740921020508
82,0.2003617286682129,0.0030698776245117188
83,0.10035586357116699,0.003873109817504883
84,0.10028409957885742,0.0038995742797851562
85,0.09929728507995605,0.0033278465270996094
86,0.10030007362365723,0.0038230419158935547
