accelerometer	 104.0Hz
cycle sample index,accel X,accel Y,accel Z
212,-0.140,-0.466,1.003
213,0.038,-0.439,1.012
214,-0.005,-0.841,1.012
215,0.103,-0.643,1.010
216,-0.186,-0.111,0.999
217,-1.019,0.244,0.974
218,-1.394,0.464,0.978
219,-0.550,0.837,1.013
220,0.486,0.517,1.015
221,-0.001,0.338,1.006
222,-0.142,0.108,0.994
223,0.097,-0.321,1.003
224,0.336,-0.143,1.018
225,0.611,-1.047,1.039
226,-0.292,-0.450,1.035
227,-0.587,0.646,0.984
228,-0.227,0.782,0.989
229,0.172,0.485,1.011
230,0.254,0.459,1.018
231,0.055,0.403,1.017
232,-0.236,0.099,0.999
233,0.169,-0.170,1.000
234,0.824,-0.203,1.013
235,0.683,-0.285,1.027
236,-0.413,-0.598,0.997
237,-0.243,-0.108,1.008
238,0.169,-0.271,1.004
239,0.098,-0.041,1.002
240,-0.112,0.165,0.996
241,-0.654,0.646,1.013
242,-0.204,0.898,1.057
243,0.219,-0.258,0.990
244,0.101,-0.712,0.995
245,-0.078,-0.366,1.006
246,0.008,-0.517,1.012
247,0.009,-0.897,1.010
248,0.147,-0.508,1.010
249,-0.340,0.079,0.996
250,-1.155,0.196,0.964
251,-1.331,0.541,0.994
252,-0.369,0.727,1.011
253,0.552,0.464,1.017
254,0.028,0.166,1.007
255,-0.068,-0.088,0.996
256,0.114,-0.425,0.997
257,0.209,-0.426,1.018
258,0.010,-0.914,1.059
259,-0.423,0.278,1.005
260,-0.488,0.777,0.976
261,0.028,0.752,0.997
262,0.141,0.368,1.017
263,0.198,0.545,1.018
264,-0.139,0.169,1.015
265,-0.153,-0.016,0.996
266,0.527,-0.428,1.002
267,1.014,-0.365,1.020
268,0.273,-0.545,1.017
269,-0.868,-0.051,0.997
270,-0.174,0.394,1.007
271,0.067,0.272,1.004
272,0.124,0.255,0.997
273,0.038,0.446,1.000
274,0.177,0.334,1.037
275,0.773,-0.172,1.069
276,0.323,-0.622,0.980
277,-0.747,-0.368,0.988
278,-0.014,-0.048,1.011
279,0.184,-0.652,1.014
280,0.120,-1.033,1.013
281,0.258,-0.515,1.012
282,-0.485,-0.063,0.989
283,-1.377,0.161,0.963
284,-1.419,0.542,0.995
285,-0.179,0.625,1.014
286,0.645,0.222,1.024
287,-0.098,0.125,1.001
288,-0.037,-0.311,0.995
289,0.077,-0.438,0.995
290,0.081,-0.586,1.018
291,-0.351,-0.572,1.065
292,-0.600,0.533,0.982
293,-0.316,0.889,0.988
294,0.167,0.552,1.004
295,0.081,0.370,1.016
296,0.067,0.456,1.018
297,-0.182,0.242,1.010
298,-0.085,-0.046,0.995
299,0.688,-0.289,1.004
300,0.994,-0.220,1.026
301,0.102,-0.507,1.014
302,-0.801,0.017,0.999
303,-0.099,0.418,1.007
304,0.115,0.235,1.002
305,0.194,0.130,0.996
306,0.125,0.224,1.008
307,0.264,-0.008,1.067
308,0.511,-0.254,1.024
309,-0.197,-0.640,0.978
310,-0.640,0.048,0.993
311,0.066,-0.028,1.013
312,0.206,-0.371,1.013
313,0.266,-0.816,1.019
